integration of cell [1]
time C O Mg Si CO C2 c_grain si_grain 
9.548182e+06 2.988295e+07 4.335846e+07 1.347596e+07 2.443427e+07 5.675649e+05 1.719184e+03 0.000000e+00 0.000000e+00 
1.045082e+07 2.258759e+07 3.275259e+07 1.018798e+07 1.847260e+07 4.357486e+05 1.007775e+02 0.000000e+00 0.000000e+00 
1.157587e+07 1.650429e+07 2.392594e+07 7.445790e+06 1.350052e+07 3.222323e+05 3.114208e+00 0.000000e+00 0.000000e+00 
1.348850e+07 1.033789e+07 1.498431e+07 4.665066e+06 8.458582e+06 2.045618e+05 1.167800e+00 0.000000e+00 0.000000e+00 
1.687390e+07 5.202170e+06 7.539579e+06 2.348132e+06 4.257575e+06 1.043049e+05 3.591487e-01 0.000000e+00 0.000000e+00 
1.687390e+07 5.202170e+06 7.539579e+06 2.348132e+06 4.257575e+06 1.043049e+05 3.591487e-01 1.478157e-02 0.000000e+00 
1.687390e+07 5.202170e+06 7.539579e+06 2.348132e+06 4.257575e+06 1.043049e+05 3.591487e-01 2.993446e-02 0.000000e+00 
1.687390e+07 5.202170e+06 7.539579e+06 2.348132e+06 4.257575e+06 1.043049e+05 3.591487e-01 4.534537e-02 0.000000e+00 
1.687390e+07 5.202170e+06 7.539579e+06 2.348132e+06 4.257575e+06 1.043049e+05 3.591487e-01 6.107256e-02 0.000000e+00 
1.687390e+07 5.202170e+06 7.539579e+06 2.348132e+06 4.257575e+06 1.043049e+05 3.591487e-01 7.698275e-02 0.000000e+00 
1.687390e+07 5.202170e+06 7.539579e+06 2.348132e+06 4.257575e+06 1.043049e+05 3.591487e-01 9.321859e-02 0.000000e+00 
1.687390e+07 5.202170e+06 7.539579e+06 2.348132e+06 4.257575e+06 1.043049e+05 3.591487e-01 1.095344e-01 0.000000e+00 
1.687390e+07 5.202170e+06 7.539579e+06 2.348132e+06 4.257575e+06 1.043049e+05 3.591487e-01 1.261135e-01 0.000000e+00 
1.687390e+07 5.202170e+06 7.539579e+06 2.348132e+06 4.257575e+06 1.043049e+05 3.591487e-01 1.429752e-01 0.000000e+00 
1.687390e+07 5.202170e+06 7.539579e+06 2.348132e+06 4.257575e+06 1.043049e+05 3.591487e-01 1.601125e-01 0.000000e+00 
1.687390e+07 5.202170e+06 7.539579e+06 2.348132e+06 4.257575e+06 1.043049e+05 3.591487e-01 1.774572e-01 0.000000e+00 
1.687390e+07 5.202170e+06 7.539579e+06 2.348132e+06 4.257575e+06 1.043049e+05 3.591487e-01 1.950478e-01 0.000000e+00 
1.687390e+07 5.202170e+06 7.539579e+06 2.348132e+06 4.257575e+06 1.043049e+05 3.591487e-01 2.128961e-01 0.000000e+00 
1.687390e+07 5.202170e+06 7.539579e+06 2.348132e+06 4.257575e+06 1.043049e+05 3.591487e-01 2.311114e-01 0.000000e+00 
1.687390e+07 5.202170e+06 7.539579e+06 2.348132e+06 4.257575e+06 1.043049e+05 3.591487e-01 2.495312e-01 0.000000e+00 
1.687390e+07 5.202170e+06 7.539579e+06 2.348132e+06 4.257575e+06 1.043049e+05 3.591487e-01 2.682411e-01 0.000000e+00 
1.687390e+07 5.202170e+06 7.539579e+06 2.348132e+06 4.257575e+06 1.043049e+05 3.591487e-01 2.872626e-01 0.000000e+00 
1.687390e+07 5.202170e+06 7.539579e+06 2.348132e+06 4.257575e+06 1.043049e+05 3.591487e-01 3.065951e-01 0.000000e+00 
1.687390e+07 5.202170e+06 7.539579e+06 2.348132e+06 4.257575e+06 1.043049e+05 3.591487e-01 3.261997e-01 0.000000e+00 
1.687390e+07 5.202169e+06 7.539579e+06 2.348132e+06 4.257575e+06 1.043049e+05 3.591487e-01 3.462506e-01 0.000000e+00 
1.687390e+07 5.202169e+06 7.539579e+06 2.348132e+06 4.257575e+06 1.043049e+05 3.591487e-01 3.664273e-01 0.000000e+00 
1.687390e+07 5.202169e+06 7.539579e+06 2.348132e+06 4.257575e+06 1.043049e+05 3.591487e-01 3.869922e-01 0.000000e+00 
